PAÍS ; CONTRATOS ORIGINALES ; CLUB DE PARÍS ; TOTAL ; % DE PARTICIPACIÓN 
ALEMANIA ;19.273,26;124,86;19.398,13;0,04%
ARGENTINA ; -   ; -   ; -   ;0,00%
AUSTRIA ;22.496,41; -   ;22.496,41;0,05%
BÉLGICA  ;4.369,79; -   ;4.369,79;0,01%
BRASIL ;56.124,08; -   ;56.124,08;0,12%
CANADÁ ; -   ;115,02;115,02;0,00%
DINAMARCA ; -   ; -   ; -   ;0,00%
ESPAÑA ;432.298,39;110,17;432.408,57;0,96%
ESTADOS UNIDOS - USA ;5.545,85;1.253,68;6.799,53;0,02%
FRANCIA ;696.204,95;561,54;696.766,49;1,54%
ISRAEL ; -   ;753,48;753,48;0,00%
ITALIA ;12.431,99;1.219,14;13.651,13;0,03%
JAPÓN ;75.410,69;1.056,47;76.467,15;0,17%
LUXEMBURGO ;451.895,07; -   ;451.895,07;1,00%
PAÍSES BAJOS ;0; -   ;0;0,00%
R. DE KOREA ;81.626,19; -   ;81.626,19;0,18%
R.P. DE CHINA ;5.188.942,53; -   ;5.188.942,53;11,50%
REINO UNIDO ;115.757,35;399,55;116.156,91;0,26%
RUSIA  ;86.157,88; -   ;86.157,88;0,19%
SUBTOTAL 1 ;7.248.534,44;5.593,93;7.254.128,37;16,08%
ORGANISMOS INTERNACIONALES ;19.085.900,42; -   ;19.085.900,42;42,31%
BONOS EMITIDOS EN MERCADOS INTERNACIONALES ;17.792.784,03; -   ;17.792.784,03;39,44%
DERECHOS ESPECIALES DE GIRO - DEG ;457.969,00; -   ;457.969,00;1,02%
PASIVOS POR DERECHOS CONTRACTUALES INTANGIBLES ;508.110,74; -   ;508.110,74;1,13%
VENTAS ANTICIPADAS PETROLERAS ;12.500,00; -   ;12.500,00;0,03%
SUBTOTAL 2 ;37.857.264,20; -   ;37.857.264,20;83,92%
TOTAL DEUDA PÚBLICA EXTERNA  ;45.105.798,64;5.593,93;45.111.392,57;100,00%
