 ACREEDOR ; SALDO ADEUDADO AL 30 DE JUNIO 2021 ; TASAS FIJAS 0 - 3 ; TASAS FIJAS 3.1 - 5 ; TASAS FIJAS 5.1 - 8 ; TASAS FIJAS MAS DE 8.1 ; TASAS FIJAS SUBTOTAL ; TASAS VARIABLES SDR ; TASAS VARIABLES FMI ; TASAS VARIABLES BID ; TASAS VARIABLES BIRF ; TASAS VARIABLES T.BEDE ; TASAS VARIABLES PRIME ; TASAS VARIABLES LIBOR 90 ; TASAS VARIABLES LIBOR  180 ; TASAS VARIABLES OTRAS ; TASAS VARIABLES SUBTOTAL 
   I. DEUDA EXTERNA ;45.111.392,57;5.200.596,29;2.185.670,13;20.536.766,25;441.479,41;28.364.512,08;27.510,96;6.164.060,07;134.010,92;789,6; -   ; -   ;2.090.087,48;7.880.249,99;450.171,47;16.746.880,49
     ORG. INTERNACIONALES ;19.085.900,42;2.364.578,75;1.699.829,94;359.148,44; -   ;4.423.557,14;27.510,96;6.164.060,07; -   ;789,6; -   ; -   ;2.012.087,48;6.443.286,13;14.609,04;14.662.343,29
           BM (BIRF, AIF) ;2.691.963,84;26.775,05;95.793,18; -   ; -   ;122.568,22; -   ; -   ; -   ;789,6; -   ; -   ; -   ;2.568.606,01; -   ;2.569.395,62
           BID ;6.276.602,43;2.327.698,47;1.604.036,77;359.148,44; -   ;4.290.883,68; -   ; -   ; -   ; -   ; -   ; -   ;1.971.109,71; -   ;14.609,04;1.985.718,75
           CAF ;3.874.680,12; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;3.874.680,12; -   ;3.874.680,12
           FMI ;6.164.060,07; -   ; -   ; -   ; -   ; -   ; -   ;6.164.060,07; -   ; -   ; -   ; -   ; -   ; -   ; -   ;6.164.060,07
           OTROS (FLAR, FIDA) ;78.593,97;10.105,23; -   ; -   ; -   ;10.105,23;27.510,96; -   ; -   ; -   ; -   ; -   ;40.977,78; -   ; -   ;68.488,74
      GOBIERNOS ;6.022.828,16;663.343,14;169.411,18;3.931.281,17;0;4.764.035,49; -   ; -   ;98.333,33; -   ; -   ; -   ; -   ;833.772,52;326.686,81;1.258.792,66
           CRÉDITOS ORIGINALES - GOBIERNOS ;6.017.234,23;661.987,46;168.542,71;3.931.281,17;0;4.761.811,34; -   ; -   ;98.333,33; -   ; -   ; -   ; -   ;831.407,62;325.681,93;1.255.422,88
           CONVENIOS CLUB DE PARIS ;5.593,93;1.355,68;868,47;0;0;2.224,15; -   ; -   ; -   ; -   ; -   ; -   ; -   ;2.364,90;1.004,88;3.369,78
