AÑO; MES ;SPT;SPNF;PGE; TIPO DE ACREEDOR GENERAL ; TIPO DE ACREEDORE ESPECÍFICO ; DEUDOR ; SALDO AL MES ANTERIOR ; DESEMBOLSOS ; AMORTIZACIONES ; INTERÉS Y COMISIONES ; AJUSTES CAMBIARIOS ; SALDO DEL MES ; CONDONACIONES DE INTERESES 
2021;ENERO;1;1;1; PROVEEDORES ; PROVEEDORES  ; GOBIERNO CENTRAL ; -   ; -   ; -   ; -   ; -   ; -   ; -   
2021;ENERO;1;1;0; PROVEEDORES ; PROVEEDORES  ; EP PETROECUADOR ; -   ; -   ; -   ; -   ; -   ; -   ; -   
2021;ENERO;1;1;0; PROVEEDORES ; PROVEEDORES  ; DMQ ; -   ; -   ; -   ; -   ; -   ; -   ; -   
2021;ENERO;1;1;0; PROVEEDORES ; PROVEEDORES  ; IESS ; -   ; -   ; -   ; -   ; -   ; -   ; -   
2021;ENERO;1;1;0; PROVEEDORES ; PROVEEDORES  ; TAME ; -   ; -   ; -   ; -   ; -   ; -   ; -   
2021;ENERO;1;1;1; BANCOS ; BANCOS  ; GOBIERNO CENTRAL ;1.188.426,19; -   ;23.944,03;5.760,85;-733,56;1.163.748,61; -   
2021;ENERO;1;1;1; BANCOS ; BANCOS  ; ARMADA NAC. ; -   ; -   ; -   ; -   ; -   ; -   ; -   
2021;ENERO;1;0;0; BANCOS ; BANCOS  ; CFN ;0; -   ; -   ; -   ; -   ;0; -   
2021;ENERO;1;1;0; BANCOS ; BANCOS  ; CON. PROV. PICHINCHA ; -   ; -   ; -   ; -   ; -   ; -   ; -   
2021;ENERO;1;1;0; BANCOS ; BANCOS  ; MUN. MACHALA ; -   ; -   ; -   ; -   ; -   ; -   ; -   
2021;ENERO;1;1;0; BANCOS ; BANCOS  ; MUN. PORTOVIEJO ; -   ; -   ; -   ; -   ; -   ; -   ; -   
2021;ENERO;1;1;0; BANCOS ; BANCOS  ; EP PETROECUADOR ;53.000,00; -   ; -   ; -   ; -   ;53.000,00; -   
2021;ENERO;1;1;0; BANCOS ; BANCOS  ; EMAPA-G ;83.500,00; -   ; -   ;16,63; -   ;83.500,00; -   
2021;ENERO;1;1;0; BANCOS ; BANCOS  ; ETAPA  EP CUENCA ; -   ; -   ; -   ; -   ; -   ; -   ; -   
2021;ENERO;1;1;0; BANCOS ; BANCOS  ; IESS ;66.006,70; -   ; -   ; -   ; -   ;66.006,70; -   
2021;ENERO;1;1;1; GOBIERNOS ; GOBIERNOS  ; GOBIERNO CENTRAL ;5.421.258,73; -   ;3.664,43;31.066,75;7.189,80;5.424.784,10; -   
2021;ENERO;1;1;0; GOBIERNOS ; GOBIERNOS  ; CON. PROV. MANABÍ ; -   ; -   ; -   ; -   ; -   ; -   ; -   
2021;ENERO;1;1;0; GOBIERNOS ; GOBIERNOS  ; CON. PROV. PICHINCHA ; -   ; -   ; -   ; -   ; -   ; -   ; -   
2021;ENERO;1;0;0; GOBIERNOS ; GOBIERNOS  ; BNF ;0; -   ; -   ; -   ; -   ;0; -   
2021;ENERO;1;1;0; GOBIERNOS ; GOBIERNOS  ; CELEC EP ;83.525,06; -   ; -   ; -   ;0;83.525,06; -   
2021;ENERO;1;1;0; GOBIERNOS ; GOBIERNOS  ; EEQ ; -   ; -   ; -   ; -   ; -   ; -   ; -   
2021;ENERO;1;1;0; GOBIERNOS ; GOBIERNOS  ; DMQ ; -   ; -   ; -   ; -   ; -   ; -   ; -   
2021;ENERO;1;0;0; GOBIERNOS ; GOBIERNOS  ; BANCO CENTRAL EC. ; -   ; -   ; -   ; -   ; -   ; -   ; -   
2021;ENERO;1;1;1; GOBIERNOS ; GOBIERNOS  ; ARMADA NAC. ;1.992,64; -   ; -   ; -   ;-13,95;1.978,69; -   
2021;ENERO;1;1;0; GOBIERNOS ; GOBIERNOS  ; MUN. LOJA ; -   ; -   ; -   ; -   ; -   ; -   ; -   
2021;ENERO;1;1;0; GOBIERNOS ; GOBIERNOS  ; MUN. BABAHOYO ;501,19; -   ;49,78;11,26;-3,46;447,95; -   
2021;ENERO;1;1;0; GOBIERNOS ; GOBIERNOS  ; BANCO DEL ESTADO ;117.385,20; -   ; -   ; -   ;-109,93;117.275,27; -   
2021;ENERO;1;1;0; GOBIERNOS ; GOBIERNOS  ; HIDROTOAPI E.P. ;11.356,31; -   ; -   ; -   ; -   ;11.356,31; -   
2021;ENERO;1;1;0; GOBIERNOS ; GOBIERNOS  ; MUN. SANTO DOMINGO ;84.152,15; -   ; -   ;1,58;-2.744,09;81.408,06; -   
2021;ENERO;1;1;0; GOBIERNOS ; GOBIERNOS  ; MUN. GUAYAQUIL ;72.934,51; -   ; -   ; -   ; -   ;72.934,51; -   
2021;ENERO;1;1;0; GOBIERNOS ; GOBIERNOS  ; EMAAP-Q ;57.169,48; -   ; -   ; -   ; -   ;57.169,48; -   
2021;ENERO;1;1;0; GOBIERNOS ; GOBIERNOS  ; EMAPA-G ;27.089,94; -   ; -   ; -   ; -   ;27.089,94; -   
2021;ENERO;1;1;0; GOBIERNOS ; GOBIERNOS  ; EMAPA STO.DOMINGO ;0; -   ; -   ; -   ; -   ;0; -   
2021;ENERO;1;1;0; GOBIERNOS ; GOBIERNOS  ; CON. PROV. TUNGURAHU ;2.479,75; -   ; -   ; -   ;-17,36;2.462,39; -   
2021;ENERO;1;1;1; ORGANISMOS INTERNACIONALES ; AIF ; GOBIERNO CENTRAL ;539,18; -   ; -   ; -   ; -   ;539,18; -   
2021;ENERO;1;1;1; ORGANISMOS INTERNACIONALES ; FIDA ; GOBIERNO CENTRAL ;39.636,11; -   ; -   ; -   ;-66,58;39.569,52; -   
2021;ENERO;1;1;1; ORGANISMOS INTERNACIONALES ; FLAR ; GOBIERNO CENTRAL ;122.933,33; -   ;40.977,78;1.097,69; -   ;81.955,56; -   
