AÑO; MES ;"SPT
(para agregado)";"SPNF
(para agregado)";"PGE 
(para agregado)";"SPT
(para consolidado)";"SPNF
(para consolidado)";"PGE 
(para consolidado)"; TIPO DE ACREEDOR GENERAL ; TIPO DE ACREEDORS ESPECÍFICO ; SALDO AL MES ANTERIOR ; DESEMBOLSOS ; AMORTIZACIONES ; INTERESES ; SALDO DEL MES 
2021;ENERO;1;1;0;0;0;0;PRÉSTAMOS INTERNOS;BANCO DE DESARROLLO DEL ECUADOR;1.509.021,92;26.367,50;28.048,11;10.703,69;1.507.376,15
2021;ENERO;0;0;1;0;0;0;PRÉSTAMOS INTERNOS;BANCO DE DESARROLLO DEL ECUADOR;268.326,19;387,49;1.774,17;1.018,88;266.975,33
2021;ENERO;0;0;0;0;0;1;PRÉSTAMOS INTERNOS;BANCO DE DESARROLLO DEL ECUADOR;1.363.421,58;25.980,01;26.273,94;9.684,81;1.363.126,67
2021;ENERO;1;1;1;1;1;1;TÍTULOS DE DEUDA;BONOS EMITIDOS EN MERCADO NACIONAL CON TENEDORES PRIVADOS;1.030.366,64; -   ;18.589,13;8.509,72;1.011.777,50
2021;ENERO;1;1;1;0;0;0;TÍTULOS DE DEUDA;BONOS EMITIDOS EN MERCADO NACIONAL CON TENEDORES PÚBLICOS;13.667.427,91; -   ;351.352,21;36.239,55;13.316.075,70
2021;ENERO;0;0;0;0;1;0;TÍTULOS DE DEUDA;BONOS EMITIDOS EN MERCADO NACIONAL CON TENEDORES PÚBLICOS;4.217.730,99; -   ;336.619,62;6.155,12;3.881.111,37
2021;ENERO;0;0;0;0;0;1;TÍTULOS DE DEUDA;BONOS EMITIDOS EN MERCADO NACIONAL CON TENEDORES PÚBLICOS;13.656.921,43; -   ;351.352,21;36.047,53;13.305.569,22
2021;ENERO;1;1;1;0;0;0;OTRAS CUENTAS POR PAGAR;OBLIGACIONES NO PAGADAS Y REGISTRADAS EN PRESUPUESTOS CLAUSURADOS;708.316,95; -   ; -   ; -   ;1.969.570,16
2021;ENERO;0;0;0;1;0;0;OTRAS CUENTAS POR PAGAR;OBLIGACIONES NO PAGADAS Y REGISTRADAS EN PRESUPUESTOS CLAUSURADOS;299.420,60; -   ; -   ; -   ;677.990,61
2021;ENERO;0;0;0;0;1;0;OTRAS CUENTAS POR PAGAR;OBLIGACIONES NO PAGADAS Y REGISTRADAS EN PRESUPUESTOS CLAUSURADOS;385.143,18; -   ; -   ; -   ;773.935,70
