EJERCICIO;CODIGO_EOD;NOMBRE_EOD;ITEM;NOMBRE_ITEM; INICIAL ; CODIFICADO ; COMPROMETIDO ; DEVENGADO ; PAGADO 
2021;001-0000;ASAMBLEA NACIONAL;510105;Remuneraciones Unificadas; 12.465.684,72 ; 12.465.684,72 ; 6.894.416,00 ; 6.894.416,00 ; 6.894.416,00 
2021;001-0000;ASAMBLEA NACIONAL;510203;Decimo Tercer Sueldo; 2.875.091,70 ; 2.875.091,70 ; 621.074,98 ; 621.074,98 ; 593.019,08 
2021;001-0000;ASAMBLEA NACIONAL;510204;Decimo Cuarto Sueldo; 523.538,81 ; 523.538,81 ; 307.737,85 ; 307.737,85 ; 298.370,25 
2021;001-0000;ASAMBLEA NACIONAL;510507;Honorarios; 145.971,79 ; 981.121,72 ; 741.471,30 ; 741.471,30 ; 741.471,30 
2021;001-0000;ASAMBLEA NACIONAL;510509;Horas Extraordinarias y Suplementarias; 23.790,65 ; 22.790,65 ; -   ; -   ; -   
2021;001-0000;ASAMBLEA NACIONAL;510510;Servicios Personales por Contrato; 23.035.600,37 ; 21.980.863,93 ; 12.019.413,91 ; 12.019.413,91 ; 12.018.426,66 
2021;001-0000;ASAMBLEA NACIONAL;510512;Subrogacion; 2.178,70 ; 3.178,70 ; 2.564,31 ; 2.564,31 ; 2.564,31 
2021;001-0000;ASAMBLEA NACIONAL;510513;Encargos; 10.329,82 ; 10.329,82 ; 8.811,44 ; 8.811,44 ; 8.811,44 
2021;001-0000;ASAMBLEA NACIONAL;510601;Aporte Patronal; 3.251.723,56 ; 3.251.723,56 ; 1.774.914,27 ; 1.774.914,27 ; 1.774.914,27 
2021;001-0000;ASAMBLEA NACIONAL;510602;Fondo de Reserva; 2.474.130,46 ; 2.474.130,46 ; 1.174.036,06 ; 1.174.036,06 ; 1.174.036,06 
2021;001-0000;ASAMBLEA NACIONAL;510707;Compensacion por Vacaciones no Gozadas por Cesacion de Funciones ; 265.968,34 ; 365.968,34 ; 319.574,44 ; 319.574,44 ; 260.743,94 
2021;003-0000;PARLAMENTO ANDINO (OFICINA NACIONAL) ;510105;Remuneraciones Unificadas; 514.372,80 ; 514.637,85 ; 300.591,92 ; 300.591,92 ; 300.591,92 
2021;003-0000;PARLAMENTO ANDINO (OFICINA NACIONAL) ;510106;Salarios Unificados; 43.582,20 ; 45.633,90 ; 24.553,90 ; 24.553,90 ; 24.553,90 
2021;003-0000;PARLAMENTO ANDINO (OFICINA NACIONAL) ;510203;Decimo Tercer Sueldo; 100.299,82 ; 70.781,40 ; 3.925,78 ; 3.925,78 ; 3.925,78 
2021;003-0000;PARLAMENTO ANDINO (OFICINA NACIONAL) ;510204;Decimo Cuarto Sueldo; 18.854,73 ; 19.989,68 ; 7.036,62 ; 7.036,62 ; 7.036,62 
2021;003-0000;PARLAMENTO ANDINO (OFICINA NACIONAL) ;510507;Honorarios; 631,47 ; 2.210,27 ; 789,34 ; 789,34 ; 789,34 
2021;003-0000;PARLAMENTO ANDINO (OFICINA NACIONAL) ;510509;Horas Extraordinarias y Suplementarias; 67,27 ; 67,27 ; -   ; -   ; -   
2021;003-0000;PARLAMENTO ANDINO (OFICINA NACIONAL) ;510510;Servicios Personales por Contrato; 640.846,46 ; 599.504,90 ; 341.610,57 ; 341.610,57 ; 341.610,57 
2021;003-0000;PARLAMENTO ANDINO (OFICINA NACIONAL) ;510513;Encargos; 4.165,20 ; 2.898,07 ; 2.062,96 ; 2.062,96 ; 2.062,96 
2021;003-0000;PARLAMENTO ANDINO (OFICINA NACIONAL) ;510601;Aporte Patronal; 115.743,96 ; 113.503,85 ; 64.382,52 ; 64.382,52 ; 64.382,52 
2021;003-0000;PARLAMENTO ANDINO (OFICINA NACIONAL) ;510602;Fondo de Reserva; 82.798,42 ; 57.612,85 ; 32.464,61 ; 32.464,61 ; 32.464,61 
2021;003-0000;PARLAMENTO ANDINO (OFICINA NACIONAL) ;510704;Compensacion por Desahucio; 706,25 ; 706,25 ; -   ; -   ; -   
