A§o Registro;Mes Registro;Tipo Registro;Tipo Impedimento-Gobierno Abierto;Estado;No Registros;FECHA CORTE
1999;12;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;1;31/5/2022
1999;12;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;156;31/5/2022
1999;12;Impedimento;DESTITUCI‡N;Activo;1;31/5/2022
1999;12;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;1;31/5/2022
1999;12;Impedimento;DESTITUCI‡N;Activo;1;31/5/2022
1999;12;Impedimento;INTERDICCION JUDICIAL;Activo;1;31/5/2022
1999;12;Impedimento;DESTITUCI‡N;Activo;1;31/5/2022
2000;1;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;101;31/5/2022
2000;1;Impedimento;INTERDICCION JUDICIAL;Activo;2;31/5/2022
2000;1;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;1;31/5/2022
2000;2;Impedimento;DESTITUCI‡N;Activo;1;31/5/2022
2000;2;Impedimento;DESTITUCI‡N;Activo;1;31/5/2022
2000;2;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;1;31/5/2022
2000;2;Impedimento;DESTITUCI‡N;Activo;1;31/5/2022
2000;2;Impedimento;DESTITUCI‡N;Activo;1;31/5/2022
2000;2;Impedimento;DESTITUCI‡N;Activo;2;31/5/2022
2000;2;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;1;31/5/2022
2000;2;Impedimento;DESTITUCI‡N;Activo;7;31/5/2022
2000;2;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;94;31/5/2022
2000;2;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;68;31/5/2022
2000;2;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;186;31/5/2022
2000;2;Impedimento;DESTITUCI‡N;Activo;1;31/5/2022
2000;2;Impedimento;DESTITUCI‡N;Activo;2;31/5/2022
2000;2;Impedimento;INTERDICCION JUDICIAL;Activo;1;31/5/2022
2000;2;Impedimento;DESTITUCI‡N;Activo;2;31/5/2022
2000;3;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;202;31/5/2022
2000;3;Impedimento;INTERDICCION JUDICIAL;Activo;1;31/5/2022
2000;3;Impedimento;INTERDICCION JUDICIAL;Activo;4;31/5/2022
2000;3;Impedimento;INTERDICCION JUDICIAL;Activo;1;31/5/2022
2000;3;Impedimento;DESTITUCI‡N;Activo;1;31/5/2022
2000;3;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;3;31/5/2022
2000;3;Impedimento;DESTITUCI‡N;Activo;7;31/5/2022
2000;3;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;1;31/5/2022
2000;3;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;1;31/5/2022
2000;3;Impedimento;DESTITUCI‡N;Activo;1;31/5/2022
2000;3;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;3;31/5/2022
2000;3;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;1;31/5/2022
2000;3;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;1;31/5/2022
2000;3;Impedimento;INTERDICCION JUDICIAL;Activo;1;31/5/2022
2000;3;Impedimento;DESTITUCI‡N;Activo;26;31/5/2022
2000;3;Impedimento;DESTITUCI‡N;Activo;1;31/5/2022
2000;3;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;1;31/5/2022
2000;3;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;9;31/5/2022
2000;4;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;2;31/5/2022
2000;4;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;2;31/5/2022
2000;4;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;2;31/5/2022
2000;4;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;1;31/5/2022
2000;4;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;2;31/5/2022
2000;4;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;78;31/5/2022
2000;4;Impedimento;DESTITUCI‡N;Activo;1;31/5/2022
2000;4;Impedimento;INTERDICCION JUDICIAL;Activo;4;31/5/2022
2000;4;Impedimento;INTERDICCION JUDICIAL;Activo;65;31/5/2022
2000;4;Impedimento;INTERDICCION JUDICIAL;Activo;15;31/5/2022
2000;4;Impedimento;INTERDICCION JUDICIAL;Activo;1;31/5/2022
2000;4;Impedimento;INTERDICCION JUDICIAL;Activo;12;31/5/2022
2000;4;Impedimento;INTERDICCION JUDICIAL;Activo;3;31/5/2022
2000;4;Impedimento;INTERDICCION JUDICIAL;Activo;4;31/5/2022
2000;4;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;7;31/5/2022
2000;4;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;1;31/5/2022
2000;4;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;16;31/5/2022
2000;4;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;1;31/5/2022
2000;4;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;3;31/5/2022
2000;4;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;1;31/5/2022
2000;4;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;7;31/5/2022
2000;4;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;7;31/5/2022
2000;4;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;13;31/5/2022
2000;4;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;1;31/5/2022
2000;5;Impedimento;COMPENSACION POR RETIRO VOLUNTARIO;Activo;1;31/5/2022
2000;5;Impedimento;COMPENSACION POR RETIRO VOLUNTARIO;Activo;9;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;58;31/5/2022
2000;5;Impedimento;TERMINACION DE RELACIONES LABORALES;Activo;2;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;8;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;2;31/5/2022
2000;5;Impedimento;COMPENSACION POR RETIRO VOLUNTARIO;Activo;613;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;3;31/5/2022
2000;5;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;45;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;17;31/5/2022
2000;5;Impedimento;COMPENSACION POR RETIRO VOLUNTARIO;Activo;123;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;6;31/5/2022
2000;5;Impedimento;TERMINACION DE RELACIONES LABORALES;Activo;9;31/5/2022
2000;5;Impedimento;COMPENSACION POR RETIRO VOLUNTARIO;Activo;1;31/5/2022
2000;5;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;195;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;109;31/5/2022
2000;5;Impedimento;TERMINACION DE RELACIONES LABORALES;Activo;3;31/5/2022
2000;5;Impedimento;COMPENSACION POR RETIRO VOLUNTARIO;Activo;1;31/5/2022
2000;5;Impedimento;COMPENSACION POR RETIRO VOLUNTARIO;Activo;42;31/5/2022
2000;5;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;9;31/5/2022
2000;5;Impedimento;DESTITUCI‡N;Activo;1;31/5/2022
2000;5;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;58;31/5/2022
2000;5;Impedimento;COMPENSACION POR RETIRO VOLUNTARIO;Activo;7;31/5/2022
2000;5;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;37;31/5/2022
2000;5;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;40;31/5/2022
2000;5;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;42;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;1;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;1;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;1;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;1;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;1;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;1;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;1;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;1;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;1;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;1;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;1;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;1;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;1;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;1;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;1;31/5/2022
2000;5;Impedimento;DESTITUCI‡N;Activo;1;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;1;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;2;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;1;31/5/2022
2000;5;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;2;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;1;31/5/2022
2000;5;Impedimento;COMPENSACION POR RETIRO VOLUNTARIO;Activo;24;31/5/2022
2000;5;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;32;31/5/2022
2000;5;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;1;31/5/2022
2000;5;Impedimento;COMPENSACION POR RETIRO VOLUNTARIO;Activo;1;31/5/2022
