id_empresa,agu_cap_cod,agu_con_sel,agu_con_alic,agu_con_uni_anio,agu_con_cap_l,agu_con_cap_m3,agu_con_act_prod,agu_con_mes_ene_m3,agu_con_mes_ene_usd,agu_con_mes_feb_m3,agu_con_mes_feb_usd,agu_con_mes_mar_m3,agu_con_mes_mar_usd,agu_con_mes_abr_m3,agu_con_mes_abr_usd,agu_con_mes_may_m3,agu_con_mes_may_usd,agu_con_mes_jun_m3,agu_con_mes_jun_usd,agu_con_mes_jul_m3,agu_con_mes_jul_usd,agu_con_mes_ago_m3,agu_con_mes_ago_usd,agu_con_mes_sep_m3,agu_con_mes_sep_usd,agu_con_mes_oct_m3,agu_con_mes_oct_usd,agu_con_mes_nov_m3,agu_con_mes_nov_usd,agu_con_mes_dic_m3,agu_con_mes_dic_usd,agu_con_anu_m3,agu_con_anu_usd,FEXP,ciiu1d,TAMANIO_EMPRESA,ACTIVIDAD
13588249012,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.34308510638298,C,4,C
13588249012,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.34308510638298,C,4,C
13588249012,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.34308510638298,C,4,C
13588996012,1,1,2, , , , ,95,82.25,102,89.6,110,98,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,171,162.05,32,7.67,31,7.36,541,446.93,3.72254335260116,C,3,C
13588996012,2,1, ,72,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.72254335260116,C,3,C
13588996012,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.72254335260116,C,3,C
13589850011,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.18181818181818,I,3,I
13589850011,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.18181818181818,I,3,I
13589850011,1,1,2, , , ,99,405,407.75,415,418.25,383,384.65,392,394.1,371,372.05,501,508.55,451,456.05,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,2918,2941.4,3.18181818181818,I,3,I
13590746015,2,1, ,72,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.72254335260116,C,3,C
13590746015,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.72254335260116,C,3,C
13590746015,1,1,2, , , ,100,9,1.8,4,.8,15,3,23,4.92,19,3.8,22,4.62,16,3.2,8,1.6,65,26.35,65,26.35,31,7.36,108,40.7,385,124.5,3.72254335260116,C,3,C
13596520019,1,1,2, , , , ,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999, , ,3.72254335260116,C,3,C
13596520019,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.72254335260116,C,3,C
13596520019,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.72254335260116,C,3,C
13596847018,1,1,2, , , , ,99999,99999,99999,99999,99999,99999,138,138,139,139,193,193,143,143,82,82,282,282,202,258.56,166,212.48,99,213.75,1444,1661.79,3.72254335260116,C,3,C
13596847018,2,1, ,768,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.72254335260116,C,3,C
13596847018,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.72254335260116,C,3,C
13601902014,1,1,2, , , , ,5765,4035.5,6381,4466.7,6923,4846.1,5317,3721.9,5957,4169.9,6422,4495.4,5801,4060.7,5565,3895.5,6151,4305.7,5756,4029.2,5272,3690.4,5458,3820.6,70768,49537.6,1,C,3,C
13601902014,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,C,3,C
13601902014,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,C,3,C
13601911013,1,1,2, , , , ,19,13.3,40,28,16,11.2,20,14,17,11.9,21,14.7,17,11.9,18,12.6,20,14,22,15.4,21,14.7,22,15.4,253,177.1,1.34308510638298,C,4,C
13601911013,2,1, ,48,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.34308510638298,C,4,C
13601911013,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.34308510638298,C,4,C
13601916015,2,1, ,360,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C
13601916015,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C
13601916015,1,1,2, , , ,100,968,1326.18,446,601.2,483,661.35,799,1498.98,879,1271.98,1021,1501.18,869,1319.98,1144,1589.98,959,1355.23,1016,1414.26,1517,2037.58,2239,2026.56,12340,16604.46,1.05546492659054,C,5,C
13601917011,1,1,2, , , , ,99999,99999,99999,99999,99999,99999,372,330.1,296,269.3,264,243.7,186,177.8,99999,99999,99999,99999,99999,99999,180,171.5,99999,99999,1298,1192.4,1.34308510638298,C,4,C
13601917011,2,1, ,144,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.34308510638298,C,4,C
13601917011,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.34308510638298,C,4,C
13601918018,2,1, ,2400,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C
13601918018,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C
13601918018,1,1,2, , , ,20,44,30.8,36,25.2,41,30.7,39,27.3,41,28.7,82,61.25,113,91.7,163,139.3,99999,99999,99999,99999,152,124.25,99999,99999,711,559.2,1.05546492659054,C,5,C
13601920012,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C
13601920012,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C
13601920012,1,1,2, , , ,92,258.33,305.18,258.33,3305.18,258.33,305.18,258.33,305.18,258.33,305.18,258.33,305.18,258.33,305.18,258.33,305.18,258.33,305.18,258.33,305.18,258.33,305.18,258.33,305.18,3099.96,6662.16,1.05546492659054,C,5,C
13601926011,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C
13601926011,2,1, ,576,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C
13601926011,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C
13601927017,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C
13601927017,2,1, ,450,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C
13601927017,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C
13601928013,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.34308510638298,C,4,C
13601928013,2,1, ,240,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.34308510638298,C,4,C
13601928013,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.34308510638298,C,4,C
13601929010,1,1,2, , , , ,2708,2211.15,2174,1789.95,3092,339.85,3083,335.65,2424,297.85,2299,312.55,1535,290.5,2240,335.65,2316,329.35,2593,362.95,2710,361.9,2503,385,29677,7352.35,1.05546492659054,C,5,C
13601929010,2,1, ,500,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C
13601929010,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C
13601930018,1,1,2, , , , ,1638,144.5,1890,1318.1,1452,1015,1653,1155,1465,1022.7,99999,99999,99999,99999,1602,1119.3,99999,99999,2,1.4,99999,99999,1821,1268.4,11523,7044.4,1.05546492659054,C,5,C
13601930018,2,1, ,960,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C
13601930018,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C
13601931014,1,1,2, , , , ,392,394.1,428,431.9,368,368.9,316,314.3,269,264.95,309,306.95,383,384.65,347,346.85,99999,99999,99999,99999,382,383.6,99999,99999,3194,3196.2,1.05546492659054,C,5,C
13601931014,2,1, ,192,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C
13601931014,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C
13601937012,1,1,2, , , , ,121,108.85,91,77,99,85.75,96,82.26,99999,99999,116,103.25,92,78.05,83,68.6,138,126.35,146,134.05,121,107.1,181,165.55,1284,1136.81,3.72254335260116,C,3,C
13601937012,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.72254335260116,C,3,C
13601937012,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.72254335260116,C,3,C
13601946011,1,1,2, , , , ,844,868.7,937,966.35,989,1020.95,1187,1228.85,1166,1206.8,1116,1154.3,1072,1108.1,1348,1397.9,1375,1426.25,1197,1239.35,1071,1107.05,1111,1114.05,13413,13838.65,1.40816326530612,I,4,I
13601946011,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.40816326530612,I,4,I
13601946011,2,1, ,3000,1, ,99, , , , , , , , , , , , , , , , , , , , , , , , , , ,1.40816326530612,I,4,I
13601954014,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C
13601954014,2,1, ,124,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C
13601954014,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C
13601955011,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.34308510638298,C,4,C
13601955011,2,1, ,360,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.34308510638298,C,4,C
13601955011,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.34308510638298,C,4,C
13601973019,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.30508474576271,H,4,H
13601973019,2,1, ,80,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.30508474576271,H,4,H
13601973019,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.30508474576271,H,4,H
13601980015,1,1,2, , , , ,364,323.7,372,330.1,312,362.1,562,482.1,447,390.1,503,434.9,387,342.1,369,327.7,376,333.3,424,371.7,345,308.5,362,322.1,4823,4328.4,1.05546492659054,C,5,C
13601980015,2,1, ,108,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C
13601980015,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C
13601986013,1,1,2, , , , ,154,144.2,200,198.1,3573,2953.7,428,481.55,1178,1437.85,1066,1370.07,1217,1434.8,1114,1315.25,1295,1524.8,1391,1719.05,99999,99999,1434,1144.7,13050,13724.07,1.05546492659054,C,5,C
13601986013,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C
13601986013,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C
13601987010,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.30508474576271,H,4,H
13601987010,2,1, ,120,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.30508474576271,H,4,H
13601987010,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.30508474576271,H,4,H
13601992013,1,1,2, , , , ,657,558.1,821,689.3,759,639.7,581,497.3,943,786.9,1146,949.3,1138,942.9,814,683.7,839,703.7,1152,954.1,1046,869.3,1035,860.5,10931,9134.8,1.05546492659054,C,5,C
13601992013,2,1, ,18,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C
13601992013,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C
13602002017,1,1,2, , , , ,299,278.95,216,191.75,274,252.7,237,213.85,270,248,418,374.9,256,233.8,253,230.65,210,185.5,256,233.8,257,234.85,99999,99999,2946,2678.75,1.05546492659054,C,5,C
13602002017,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C
13602002017,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C
13602007019,1,1,2, , , , ,192,167.05,262,240.1,99999,99999,418,389.65,725,634.25,462,415.1,204,179.2,162,135.1,182,156.3,227,203.35,213,188.65,99999,99999,3047,2708.75,1.34308510638298,C,4,C
13602007019,2,1, ,24,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.34308510638298,C,4,C
13602007019,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.34308510638298,C,4,C
13602010010,1,1,2, , , , ,1057,945.35,3268,2710.15,99999,99999,934,810.2,1472,1261.35,1307,1124.1,1168,1009.9,500,455,1439,1175.85,99999,99999,2182,1739,99999,99999,13327,11230.9,1.05546492659054,C,5,C
13602010010,2,1, ,840,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C
13602010010,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C
13602012012,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C
13602012012,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C
13602012012,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C
13602016018,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C
13602016018,2,1, ,180,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C
13602016018,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C
13602023014,2,1, ,36,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C
13602023014,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C
13602023014,1,1,2, , , ,100,2406,1957.3,2258,1838.9,2092,1706.1,2408,1958.9,2526,2053.3,2904,2355.7,2698,2190.9,2266,1845.3,2396,1949.3,2230,1816.5,1992,1626.1,2112,1722.1,28288,23020.4,1.05546492659054,C,5,C
13602024011,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.50724637681159,H,3,H
13602024011,2,1, ,48,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.50724637681159,H,3,H
13602024011,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.50724637681159,H,3,H
