id_empresa,com_des_cod,com_des_tip,com_uti,com_can_gal,com_cap,com_val,com_act_pro_por,com_act_pro_can,com_act_pro_val,com_tra_por,com_tra_can,com_tra_val,FEXP,ciiu1d,TAMANIO_EMPRESA,ACTIVIDAD
13588249012,21,1,2, , , , , , , , , ,1.34308510638298,C,4,C
13588249012,81,1,2, , , , , , , , , ,1.34308510638298,C,4,C
13588249012,31,1,2, , , , , , , , , ,1.34308510638298,C,4,C
13588249012,41,1,2, , , , , , , , , ,1.34308510638298,C,4,C
13588249012,51,1,2, , , , , , , , , ,1.34308510638298,C,4,C
13588249012,61,1,2, , , , , , , , , ,1.34308510638298,C,4,C
13588249012,42,2,2, , , , , , , , , ,1.34308510638298,C,4,C
13588249012,62,2,2, , , , , , , , , ,1.34308510638298,C,4,C
13588249012,22,2,2, , , , , , , , , ,1.34308510638298,C,4,C
13588249012,32,2,2, , , , , , , , , ,1.34308510638298,C,4,C
13588249012,52,2,2, , , , , , , , , ,1.34308510638298,C,4,C
13588249012,11,1,2, , , , , , , , , ,1.34308510638298,C,4,C
13588249012,12,2,2, , , , , , , , , ,1.34308510638298,C,4,C
13588249012,71,1,2, , , , , , , , , ,1.34308510638298,C,4,C
13588996012,31,1,1,1110.67, ,1144,20,222.13,228.8,80,888.54,915.2,3.72254335260116,C,3,C
13588996012,11,1,1,410.25, ,800, , , ,100,410.25,800,3.72254335260116,C,3,C
13588996012,21,1,2, , , , , , , , , ,3.72254335260116,C,3,C
13588996012,41,1,2, , , , , , , , , ,3.72254335260116,C,3,C
13588996012,51,1,2, , , , , , , , , ,3.72254335260116,C,3,C
13588996012,81,1,2, , , , , , , , , ,3.72254335260116,C,3,C
13588996012,71,1,2, , , , , , , , , ,3.72254335260116,C,3,C
13588996012,12,2,2, , , , , , , , , ,3.72254335260116,C,3,C
13588996012,22,2,2, , , , , , , , , ,3.72254335260116,C,3,C
13588996012,62,2,2, , , , , , , , , ,3.72254335260116,C,3,C
13588996012,52,2,2, , , , , , , , , ,3.72254335260116,C,3,C
13588996012,32,2,2, , , , , , , , , ,3.72254335260116,C,3,C
13588996012,61,1,2, , , , , , , , , ,3.72254335260116,C,3,C
13588996012,42,2,2, , , , , , , , , ,3.72254335260116,C,3,C
13589850011,42,2,1,9000, ,12000,100,9000,12000, , , ,3.18181818181818,I,3,I
13589850011,21,1,1,657.53, ,960, , , ,100,657.53,960,3.18181818181818,I,3,I
13589850011,11,1,2, , , , , , , , , ,3.18181818181818,I,3,I
