id_empresa,cat_cod_ciu_cod,provincia,canton,parroquia,cat_cod_ipc_cod,emp_num_ord,upm,ciiu1d,TAMANIO_EMPRESA,emp_fec_con,emp_cap2_est_dia_entr,emp_cap2_ope_emp,emp_cap2_per_muj,emp_cap2_per_muj_dis,emp_cap2_per_muj_tot,emp_cap2_per_hom,emp_cap2_per_hom_dis,emp_cap2_per_hom_tot,emp_cap2_per_tot_sin_dis,emp_cap2_per_tot_con_dis,emp_cap2_per_tot_per,emp_cap2_pri_pub,emp_cap2_dia_lab,emp_cap2_ini_act,ACTIVIDAD,emp_cap2_act_prin_esp,emp_cap2_act_prin_des,emp_cap2_act_sec,emp_cap2_act_sec_esp,emp_cap2_act_sec_des,emp_cap2_num_est,emp_cap2_num_ded_act_pri,emp_cap3_act_prin,emp_cap3_act_prin_emit,emp_cap3_act_prin_espe,emp_cap3_act_iso_sel,emp_cap3_act_iso_emit,emp_cap3_act_iso_espe,emp_cap3_num_tra_ges_amb,emp_cap3_man_obr_cal_amb,emp_cap3_man_obra_cal_otr,emp_cap3_man_obr_no_cal,emp_cap3_dep_act_ges_amb,emp_cap3_pla_ges_amb,emp_cap3_pla_camb_cli,emp_cap3_pla_segu_ind,emp_cap3_pla_gest_rie,emp_cap3_pla_ener,emp_cap3_pla_gest_res,emp_cap4_ing_pais_sel,emp_cap4_ing_pais_val,emp_cap4_ing_ext_sel,emp_cap4_ing_ext_val,emp_cap4_ing_tot,emp_cap4_pres_sel,emp_cap4_pres_val,emp_cap4_inv_sel,emp_cap4_inv_val,emp_cap4_inv_amb_sel,emp_cap4_inv_amb_val,emp_cap4_cost_tot,emp_cap4_gas_tot,emp_cap4_sum_gas_cos,emp_cap5_sum_res_no_pel,emp_cap6_sum_res_pel,emp_cap7_sum_res_esp,emp_cap9_agu_res_sel,emp_cap9_agu_res_m3,emp_cap9_agu_res_tra_sel,emp_cap9_des_agu_res_sel,emp_cap9_cau_agu_res_val,emp_cap9_cau_agu_res_uni,emp_cap9_hor_des_agu_res,emp_cap9_dia_act_mes,emp_cap9_tot_agu_res,emp_cap9_tot_agu_res_por,emp_cap9_tot_agu_res_tra,emp_cap9_agu_res_tra_esp,emp_cap9_tot_agu_res_no_tra,emp_cap9_agu_res_no_tra_esp,emp_cap10_com_liq_esp,emp_cap10_tot_com_liq_val,emp_cap10_tot_com_liq_act_can,emp_cap10_tot_com_liq_act_val,emp_cap10_tot_com_liq_tra_can,emp_cap10_tot_com_liq_tra_val,emp_cap10_tot_com_sol_val,emp_cap10_tot_com_sol_act_can,emp_cap10_tot_com_sol_act_val,emp_cap10_tot_com_sol_tra_can,emp_cap10_tot_com_sol_tra_val,emp_cap10_com_sol_esp,emp_equ_coc_gas_sel,emp_equ_coc_gas_can,emp_equ_coc_ind_sel,emp_equ_coc_ind_can,emp_pra_ver_ene,emp_pra_ver_dis_eco,emp_pra_ver_rec_mat,emp_pra_ver_ene_ren,emp_pra_ver_ges_res,emp_pra_ver_mat_pri,emp_raz_prac_amb,emp_obs_prac_amb,FEXP,particion,VAR00002,VAR00003,VAR00004,VAR00005,VAR00006,VAR00007,VAR00008,VAR00009,VAR00010,VAR00011,VAR00012,VAR00013,VAR00014,VAR00015,VAR00016,VAR00017,VAR00018,VAR00019,VAR00020,VAR00021,VAR00022,VAR00023,VAR00024,VAR00025,VAR00026,VAR00027,VAR00028,VAR00029,VAR00030,VAR00031,VAR00032,VAR00033,VAR00034,VAR00035,VAR00036,VAR00037,VAR00038,VAR00039,VAR00040,VAR00041,VAR00042,prac_amb,gastoambiental_mean,aire_mean,suelo_mean,aguaresidual_mean,desechos_mean,ruido_mean,radiaciones_mean,biodiversidad_mean,agua_mean,minerales_mean,energéticos_mean,maderables_mean,pesaca_mean,proteccionambiental_mean,recursos_mean,políticaspub_mean,personal_mean,enrenovable_sum,gastoambiental,enrenovable,EMPRESAS_VALIDAS
13588249012,C3100,01,0101,010150,1A2M,6,22,C,4,11/3/1992,1,1,1,0,1,14,0,14,15,0,15,2,240,11/3/1992,C, ,PRODUCCION Y COMERCIALIZACION DE MUEBLES DE MADERA, , , ,2,1,2,2, ,2, , ,0,0,0,0, ,0,0,0,0,0,0,1,1321331.55,2, ,1321331.55,2, ,1,200000,2, ,1126786.11,166853.11, , , , ,2, ,3, , , , , , , , , ,100, , , , , , , , , , , , , , , , , ,1,2,2,2,2,2,7,4,1.34308510638298,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13588996012,C1520,01,0101,010150,1A2L,7,22,C,3,8/8/2001,1,1,31,0,31,9,1,10,40,1,41,2,240,8/9/2008,C, ,FABRICACION DE CALZADO, , , ,1,1,2,2, ,2, , ,0,0,0,0, ,0,0,0,0,0,0,1,2102961.35,2, ,2102961.35,2, ,1,45000,2, ,1600362.48,363854.55,1984, , , ,2, ,3, , , , , , , , , ,100, , ,1944,222.13,228.8,1298.79,1715.2, , , , , , , , , , ,1,2,1,2,1,2,6,3,3.72254335260116,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
13589850011,I5610,01,0101,010150,1A4A,9,25,I,3,9/30/1995,1,1,21,1,22,17,0,17,38,1,39,2,365,10/1/1995,I, ,SERVICIO DE RESTAURANTE, , , ,1,1,5, , ,2, , , ,0,0,0, ,25,0,25,25,0,0,1,1275572.06,2, ,1275572.06,2, ,1,15000,2, ,547005.22,467747.88, ,120, , ,2, ,3, , , , , , , , , ,100, , ,960, , ,657.53,960,12000,9000,12000, , , ,1,3,2, ,1,2,2,2,2,2,1,3,3.18181818181818,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13590746015,C1079,01,0101,010150,1A2E,10,22,C,3,4/21/2004,1,1,4,0,4,9,0,9,13,0,13,2,240,4/21/2004,C, ,ELABORACION DE ESPECIAS O CONDIMENTOS, , , ,1,1,4,2, ,2, , , ,0,0,0, ,0,0,13,0,0,13,1,1302722.07,2, ,1302722.07,2, ,1,4825,2, ,880286.63,358530.68,13400, , , ,2, ,3, , , , , , , , , ,100, , ,2313.74, , ,1584.75,2313.74, , , , , , , , , , ,1,2,2,2,2,2,7,2,3.72254335260116,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
13596520019,C1520,09,0901,090150,1A2L,449,22,C,3,5/10/1999,1,1,3,0,3,13,1,14,16,1,17,2,253,10/5/1999,C, ,FABRICACION ARTESANAL DE CALZADO DE CUERO, , , ,2,1,5, , ,2, , ,0,0,0,0, ,0,0,17,0,0,17,1,1060041.4,2, ,1060041.4,2, ,2, , , ,1041094.95,433.19, , ,-10, ,2, ,3, , , , , , , , , ,100, , ,1600, , ,941,1600, , , , , , , , , , ,1,1,1,2,2,1,7,3,3.72254335260116,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13596847018,C1071,13,1308,130804,1A2E,1037,25,C,3,2/11/2014,1,1,52,2,54,35,1,36,87,3,90,2,364,2/11/2014,C, ,ELABORACION Y VENTAS DE COMIDAS BEBIDAS EN CAFETERIAS PARA CONSUMO INMEDIATO. BOCADITOS PASTELES DULCES EN GENERAL DE HARINA, , , ,8,1,1,1, ,2, , , ,0,0,0, ,0,0,1,0,0,0,1,1612546.79,2, ,1612546.79,2, ,1,22047.05,2, ,855587.66,690723.08,1800, , , ,2, ,3, , , , , , , , , ,100, , ,4959.06,3920,4959.06, , ,13290,9000,13290, , , ,1,1,2, ,1,1,1,2,1,1,7,4,3.72254335260116,2,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
13601902014,C1010,01,0101,010150,1A2E,177,12,C,3,11/30/2001,1,1,8,0,8,66,3,69,74,3,77,1,240,4/6/2010,C, ,SERVICIO DE FAENAMIENTO, , , ,1,1,4,2, ,2, , ,3,3,0,0,2,0,0,30,3,0,0,1,1804759.79,2, ,1804759.79,2, ,1,10000,2, , ,1433265.36,30000,-27600, ,6650,2, ,3, , , , , , , , , ,100, , ,15166.45,6000,13390.45,1200,1776, , , , , , , , , , ,1,1,1,2,1,2,6,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
13601911013,G4649,01,0101,010150,1A4A,14,36,C,4,1/15/1970,1,1,21,1,22,38,1,39,59,2,61,2,240,1/15/1970,C, ,VENTA AL POR MAYOR Y MENOR DE PRODUCTOS DEPORTIVOS Y ARTICULOS DE ACABADOS PARA EL HOGAR,1,C2392,"FABRICACION DE LAVAMANOS, SANITARIOS, MESONES ENTRE OTROS DE CERAMICA",5,4,5, , ,2, , , ,0,0,0, ,0,0,29,0,0,0,1,2214733.64,2, ,2214733.64,2, ,1,90000,2, ,1533845.7,816105.91,5500, ,3300, ,2, ,3, , , , , , , , , ,100, , ,2391.2, , ,1708,1759.1,3809.94,2880,3809.94, , , , , , , ,1,1,1,2,1,2,7,1,1.34308510638298,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
13601916015,C1101,01,0101,010150,1A2E,15,22,C,5,8/19/1960,1,1,17,0,17,39,2,41,56,2,58,2,240,8/20/1960,C, ,ELABORACION DE BEBIDAS ALCOHOLICAS, , , ,2,1,4,2, ,2, , ,2,2,0,0,1,0,0,20,20,0,0,1,6053494.65,1,13242.5,6066737.15,2, ,2, , , ,3484554.95,1462498.67,39800,5631.3, , ,2, ,3, , , , , , , , , ,100, , ,20654.36,6018.75,20339.96,215.34,314.4, , , , , , , , , , ,1,2,1,2,1,2,6,1,1.05546492659054,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1
13601917011,C2393,01,0101,010150,1A2F,16,22,C,4,10/4/1966,1,1,147,7,154,190,7,197,337,14,351,2,360,10/5/1966,C, ,FABRICACION DE ARTICULOS DE CERAMICA COMO VAJILLAS, , , ,1,1,4,2, ,2, , ,1,0,1,0,1,0,0,300,0,0,0,1,4656460.65,1,435636.86,5092097.51,2, ,1,20752.4,2, ,4134983.92,905826.14,9505.2,255.26, ,79.2,2, ,3, , , , , , , , , ,100, , , , , , , ,58124.74,77177.32,58124.74, , ,GAS NATURAL, , , , ,2,2,2,2,1,2,6,1,1.34308510638298,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
