id_empresa,ene_des_cod,ene_sum_ele,ene_pag_ali,ene_us_anu,ene_con_mes_ene_kwh,ene_con_mes_ene_val,ene_con_mes_feb_kwh,ene_con_mes_feb_val,ene_con_mes_mar_kwh,ene_con_mes_mar_val,ene_con_mes_abr_kwh,ene_con_mes_abr_val,ene_con_mes_may_kwh,ene_con_mes_may_val,ene_con_mes_jun_kwh,ene_con_mes_jun_val,ene_con_mes_jul_kwh,ene_con_mes_jul_val,ene_con_mes_ago_kwh,ene_con_mes_ago_val,ene_con_mes_sep_kwh,ene_con_mes_sep_val,ene_con_mes_oct_kwh,ene_con_mes_oct_val,ene_con_mes_nov_kwh,ene_con_mes_nov_val,ene_con_mes_dic_kwh,ene_con_mes_dic_val,ene_con_anu_kwh,ene_con_anu_val,FEXP,ciiu1d,TAMANIO_EMPRESA,ACTIVIDAD,EMPRESAS_VALIDAS,empresa_unica
13588249012,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.34308510638298,C,4,C,1,1
13588249012,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.34308510638298,C,4,C,1,0
13588249012,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.34308510638298,C,4,C,1,0
13588249012,5,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.34308510638298,C,4,C,1,0
13588249012,1,1,2,100,99999,99999,1241,161.2,659,161.95,1584,145.68,1594,178.75,99999,99999,1325,153.83,2917,227.36,1794,211.22,1821,197.46,1617,174.54,1595,172.52,16147,1784.51,1.34308510638298,C,4,C,1,0
13588996012,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.72254335260116,C,3,C,1,1
13588996012,5,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.72254335260116,C,3,C,1,0
13588996012,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.72254335260116,C,3,C,1,0
13588996012,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.72254335260116,C,3,C,1,0
13588996012,1,1,2,100,6833,802.65,8692,916.85,7758,710.76,10324,1051.23,7311,871.56,6260,757.29,7007,789.11,8694,939.77,8690,929.15,11251,1137.62,10153,1039.51,10149,1039.18,103122,10984.68,3.72254335260116,C,3,C,1,0
13589850011,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.18181818181818,I,3,I,1,1
13589850011,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.18181818181818,I,3,I,1,0
13589850011,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.18181818181818,I,3,I,1,0
13589850011,1,1,2,99,3855,342.01,3759,348.61,4093,385.49,4363,404.09,4646,527.91,4520,521.89,4753,539.07,4668,532.58,4343,502.47,4695,538.34,4675,536.37,99999,99999,48370,5178.83,3.18181818181818,I,3,I,1,0
13589850011,5,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,3.18181818181818,I,3,I,1,0
13590746015,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.72254335260116,C,3,C,1,1
13590746015,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.72254335260116,C,3,C,1,0
13590746015,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.72254335260116,C,3,C,1,0
13590746015,5,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.72254335260116,C,3,C,1,0
13590746015,1,1,2,100,99999,99999,99999,99999,247,15.56,922,69.45,889,84.62,1175,112.94,1028,98.38,937,89.37,848,80.56,1051,100.66,869,82.64,899,84.2,8865,818.38,3.72254335260116,C,3,C,1,0
13596520019,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.72254335260116,C,3,C,1,1
13596520019,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.72254335260116,C,3,C,1,0
13596520019,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.72254335260116,C,3,C,1,0
13596520019,5,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.72254335260116,C,3,C,1,0
13596520019,1,1,2,100,1795.2,90.73,99999,99999,2448,123.53,99999,99999,2531,126.65,2285,162.9,1958,138.37,99999,145.4,99999,131.38,99999,137.21,99999,138.36,99999,147.88,11017.2,1342.41,3.72254335260116,C,3,C,1,0
13596847018,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.72254335260116,C,3,C,1,1
13596847018,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.72254335260116,C,3,C,1,0
13596847018,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.72254335260116,C,3,C,1,0
13596847018,1,1,2,99,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,12479,1178.45,11108,1067.4,11592,1106.6,10708,847.39,10486,849.37,10296,833.98,10135,820.94,76804,6704.13,3.72254335260116,C,3,C,1,0
13596847018,5,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,3.72254335260116,C,3,C,1,0
13601902014,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,C,3,C,1,1
13601902014,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,C,3,C,1,0
13601902014,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,C,3,C,1,0
13601902014,5,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,C,3,C,1,0
13601902014,1,1,2,100,26981,1929.99,19351,1527.9,23026,1705.49,26051,1867.57,27329,2221.06,25644,2097.77,26721,2198.74,24666,2059.18,25528,2030.73,25583,21035,25583,21035,99999,99999,276463,59708.43,1,C,3,C,1,0
13601911013,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.34308510638298,C,4,C,1,1
